year,month,dasarian_num,ET0_dasarian_mm_dasarian,hujan_dasarian_mm,GWETROOT
2002,4,3,36.46562919,53.73,0.9
2002,5,1,32.88680898,45.12,0.868
2002,5,2,37.39802703,34.17,0.8560000000000001
2002,5,3,37.33088676,75.23,0.8390909090909091
2002,6,1,34.18762788,29.67,0.8099999999999999
2002,6,2,31.34533471,39.06,0.807
2002,6,3,35.58350722,21.67,0.786
2002,7,1,31.91012927,28.59,0.738
2002,7,2,30.47750505,69.28,0.76
2002,7,3,35.92719546,112.7,0.77
2002,8,1,35.72325336,68.67,0.795
2002,8,2,38.12836387,0.23,0.776
2002,8,3,36.62715139,13.3,0.7145454545454545
2002,9,1,31.3968637,30.93,0.675
2002,9,2,33.47246637,59.83,0.683
2002,9,3,32.22647633,38.6,0.675
2002,10,1,36.69715291,3.9,0.641
2002,10,2,40.17218006,37.94,0.603
2002,10,3,36.76264399,10.58,0.5809090909090909
2002,11,1,37.44085616,73.9,0.581
2002,11,2,35.26244399,98.27,0.628
2002,11,3,33.97119093,94.61,0.692
2002,12,1,39.2763578,58.5,0.715
2002,12,2,36.97676482,123.12,0.746
2002,12,3,34.38000871,96.27,0.8218181818181818
2003,1,1,38.43945498,54.83,0.8
2003,1,2,37.78552459,10.19,0.784
2003,1,3,36.85504623,82.98,0.7681818181818181
2003,2,1,35.28117145,31.93,0.795
2003,2,2,34.32162316,109,0.808
2003,2,3,28.36985835,31.72,0.8312499999999999
2003,3,1,41.60301775,26.16,0.8
2003,3,2,33.49016636,24.02,0.777
2003,3,3,41.50348948,55.04,0.7790909090909092
2003,4,1,36.84459153,151.43,0.835
2003,4,2,37.31152039,30.46,0.836
2003,4,3,33.87731038,62.09,0.8219999999999998
2003,5,1,34.4805537,174.23,0.86
2003,5,2,36.12568935,9.78,0.8880000000000001
2003,5,3,38.70930436,4.01,0.8190909090909091
2003,6,1,37.93042124,0,0.759
2003,6,2,35.67341588,3.93,0.6910000000000001
2003,6,3,33.3843002,12.65,0.652
2003,7,1,33.6307156,57.77,0.644
2003,7,2,34.19892918,51.74,0.667
2003,7,3,39.10527565,0.8,0.6109090909090908
2003,8,1,33.85643362,3.86,0.562
2003,8,2,28.86657069,35.22,0.544
2003,8,3,36.13626383,71.52,0.5681818181818182
2003,9,1,35.74854825,12.97,0.575
2003,9,2,33.7135231,99.58,0.614
2003,9,3,39.26626164,11.67,0.594
2003,10,1,35.10092373,154.52,0.633
2003,10,2,33.87912666,275.43,0.817
2003,10,3,41.69761551,83.16,0.8599999999999999
2003,11,1,35.88143865,62.52,0.874
2003,11,2,32.02316544,64.5,0.8710000000000001
2003,11,3,35.90907151,122.72,0.877
2003,12,1,31.75815509,165.46,0.953
2003,12,2,29.83162389,196.31,0.959
2003,12,3,39.27092213,107.46,0.9745454545454545
2004,1,1,35.07322024,22.72,0.946
2004,1,2,33.1731053,83.53,0.945
2004,1,3,36.96267275,52.86,0.9290909090909092
2004,2,1,34.57452315,28.62,0.9099999999999999
2004,2,2,34.53830176,65.89,0.899
2004,2,3,30.00512038,61.29,0.8955555555555557
2004,3,1,35.05477863,24.16,0.884
2004,3,2,35.32505285,80.1,0.883
2004,3,3,47.3490866,20.92,0.8572727272727273
2004,4,1,33.96621604,94.87,0.8699999999999999
2004,4,2,38.24380206,23.93,0.837
2004,4,3,35.39763271,122.22,0.86
2004,5,1,35.33527389,161.33,0.924
2004,5,2,33.38677177,30.5,0.913
2004,5,3,35.62473748,89.37,0.9054545454545455
2004,6,1,31.95964023,34.57,0.898
2004,6,2,37.53627492,0.38,0.8480000000000001
2004,6,3,33.93836495,10.23,0.786
2004,7,1,31.26955041,38.86,0.774
2004,7,2,33.22909063,69.22,0.781
2004,7,3,35.2250624,54.56,0.7845454545454547
2004,8,1,34.7979653,30.29,0.781
2004,8,2,35.64875163,87.05,0.745
2004,8,3,35.80313789,122.53,0.7745454545454545
2004,9,1,37.8748833,113.56,0.868
2004,9,2,37.25046213,36.56,0.8130000000000001
2004,9,3,34.14884083,34.69,0.764
2004,10,1,36.90265446,18.75,0.756
2004,10,2,36.84774238,13.86,0.703
2004,10,3,39.26015219,54.91,0.6827272727272727
2004,11,1,37.14835503,67.25,0.701
2004,11,2,36.34505578,116.75,0.6940000000000001
2004,11,3,35.42740075,212.3,0.8800000000000001
2004,12,1,33.76897773,72.68,0.907
2004,12,2,32.09618651,201.9,0.945
2004,12,3,33.82267058,184.74,0.9645454545454545
2005,1,1,30.95964517,84.38,0.976
2005,1,2,34.69265043,66.14,0.975
2005,1,3,37.9342954,41.98,0.9281818181818182
2005,2,1,34.55721378,23.8,0.9099999999999999
2005,2,2,32.47501185,145.09,0.9380000000000001
2005,2,3,26.40239448,53.65,0.9462499999999999
2005,3,1,37.10114685,43.07,0.9369999999999999
2005,3,2,34.09242937,104.26,0.9259999999999999
2005,3,3,35.4704895,214.36,0.98
2005,4,1,38.78308221,49.55,0.9719999999999999
2005,4,2,35.42648207,46.21,0.93
2005,4,3,32.62452099,91.47,0.945
2005,5,1,33.94611811,123.51,0.961
2005,5,2,36.45305115,80.04,0.967
2005,5,3,35.19613046,27.55,0.920909090909091
2005,6,1,30.02131964,78.78,0.901
2005,6,2,30.48015092,100.8,0.921
2005,6,3,35.42468744,62.88,0.93
2005,7,1,32.45403131,44.49,0.9019999999999999
2005,7,2,30.16056354,51.18,0.899
2005,7,3,31.64228391,100.24,0.8863636363636364
2005,8,1,32.70665592,41.13,0.898
2005,8,2,33.37529625,20.69,0.845
2005,8,3,38.62513413,173.9,0.9081818181818182
2005,9,1,37.87450845,41.68,0.884
2005,9,2,34.57492318,106.5,0.8870000000000001
2005,9,3,38.79942233,78.2,0.873
2005,10,1,37.5912975,99.22,0.922
2005,10,2,34.11890932,122.88,0.9269999999999999
2005,10,3,38.63770286,173.46,0.9536363636363636
2005,11,1,37.37792671,33.49,0.952
2005,11,2,33.78960851,197.13,0.952
2005,11,3,33.28684583,57.92,0.9730000000000001
2005,12,1,36.52912463,60.57,0.9390000000000001
2005,12,2,29.63073011,317.52,0.99
2005,12,3,34.24367335,116.12,0.9763636363636364
2006,1,1,33.59890113,205.83,0.9869999999999999
2006,1,2,33.16899407,250.2,0.9960000000000001
2006,1,3,32.34676198,86.05,0.9809090909090908
2006,2,1,35.72341994,165.22,0.962
2006,2,2,35.26348472,80.36,0.977
2006,2,3,23.9591185,126.04,0.9724999999999999
2006,3,1,39.95319512,15.18,0.958
2006,3,2,34.65374501,198.45,0.9410000000000001
2006,3,3,34.95525808,73.63,0.9727272727272727
2006,4,1,37.08074124,43.57,0.9390000000000001
2006,4,2,36.8170598,157.67,0.961
2006,4,3,33.20245631,63.21,0.9640000000000001
2006,5,1,37.07928624,18.94,0.923
2006,5,2,36.55542449,17.59,0.868
2006,5,3,35.81121982,65.57,0.870909090909091
2006,6,1,32.74341666,108.53,0.885
2006,6,2,30.75769878,149.56,0.906
2006,6,3,31.04163421,80.05,0.953
2006,7,1,33.73496123,14.29,0.905
2006,7,2,29.66771662,82.99,0.881
2006,7,3,37.54406198,15.2,0.8781818181818182
2006,8,1,38.45824168,0.78,0.8210000000000001
2006,8,2,36.91875139,0.04,0.755
2006,8,3,35.59315101,8.46,0.6927272727272727
2006,9,1,32.90282613,1.25,0.639
2006,9,2,34.92076336,16.24,0.598
2006,9,3,41.07609857,0.72,0.5599999999999999
2006,10,1,38.56547467,0.36,0.518
2006,10,2,35.97279321,2.4,0.487
2006,10,3,33.96125596,11.29,0.47
2006,11,1,32.08582673,37.96,0.47400000000000003
2006,11,2,39.24625802,26.31,0.497
2006,11,3,36.29826888,48.7,0.508
2006,12,1,33.74169695,109.16,0.592
2006,12,2,35.13729923,159.14,0.683
2006,12,3,34.30638969,168.32,0.7781818181818182
2007,1,1,30.8711197,198.41,0.885
2007,1,2,34.09672945,97.25,0.907
2007,1,3,36.99471601,199.31,0.9445454545454546
2007,2,1,34.96864748,44.89,0.9390000000000001
2007,2,2,36.10525011,80.65,0.906
2007,2,3,26.89013272,126.88,0.9237500000000001
2007,3,1,36.24112602,103.15,0.962
2007,3,2,33.97589878,96.21,0.9480000000000001
2007,3,3,37.4563248,82.69,0.9481818181818181
2007,4,1,36.42853079,66.02,0.9369999999999999
2007,4,2,37.49766763,99.94,0.9369999999999999
2007,4,3,31.72379935,81.29,0.946
2007,5,1,34.43627452,58.7,0.9470000000000001
2007,5,2,32.71654731,109.66,0.945
2007,5,3,39.96334579,84.21,0.9227272727272727
2007,6,1,33.94426087,66.76,0.9339999999999999
2007,6,2,27.81041233,107.53,0.921
2007,6,3,34.68771069,0.7,0.9099999999999999
2007,7,1,32.65900583,98.54,0.884
2007,7,2,34.00795127,18.46,0.882
2007,7,3,34.6419984,54.14,0.8672727272727272
2007,8,1,38.52799644,0.23,0.817
2007,8,2,32.97112443,28.35,0.766
2007,8,3,38.67243247,9.88,0.7336363636363636
2007,9,1,32.60996033,133.28,0.755
2007,9,2,31.91411906,17.47,0.765
2007,9,3,40.56661427,0.24,0.703
2007,10,1,36.45066825,30.25,0.651
2007,10,2,36.18761994,47.68,0.664
2007,10,3,37.95176201,88.71,0.6709090909090909
2007,11,1,33.66568589,154.55,0.737
2007,11,2,36.30220635,72.82,0.8150000000000001
2007,11,3,38.17797699,30.82,0.789
2007,12,1,33.05743709,83.73,0.79
2007,12,2,31.92557182,163.06,0.889
2007,12,3,34.94284847,120.55,0.9136363636363637
2008,1,1,37.80306671,66.07,0.9099999999999999
2008,1,2,40.32310467,37.97,0.893
2008,1,3,38.89563293,82.76,0.8836363636363637
2008,2,1,34.94409835,64.01,0.9
2008,2,2,33.82585001,6.97,0.861
2008,2,3,27.97925622,83.6,0.8577777777777778
2008,3,1,35.87885175,49.51,0.8539999999999999
2008,3,2,34.8449403,228.58,0.921
2008,3,3,42.42802658,93.36,0.9427272727272726
2008,4,1,38.37858607,32.22,0.922
2008,4,2,33.34578353,157.75,0.9549999999999998
2008,4,3,34.73139192,119.1,0.9709999999999999
2008,5,1,36.30887576,11.58,0.9400000000000001
2008,5,2,39.27600579,7.87,0.883
2008,5,3,35.64710224,42.49,0.8227272727272728
2008,6,1,31.87444781,4.37,0.794
2008,6,2,32.65480712,42.83,0.783
2008,6,3,32.50291903,22.89,0.742
2008,7,1,33.54167451,11.84,0.704
2008,7,2,29.91701993,44.29,0.687
2008,7,3,35.68324092,4.68,0.6490909090909092
2008,8,1,37.13390074,38.53,0.613
2008,8,2,33.57452175,28.17,0.617
2008,8,3,34.38133196,126.58,0.6572727272727273
2008,9,1,31.97119922,58.58,0.699
2008,9,2,37.52635421,54.84,0.702
2008,9,3,35.68403917,45.06,0.678
2008,10,1,35.29289601,99.43,0.722
2008,10,2,36.57080323,71.55,0.716
2008,10,3,37.68321391,52.28,0.7354545454545455
2008,11,1,32.80674853,175.39,0.7889999999999999
2008,11,2,34.32547921,272.25,0.8869999999999999
2008,11,3,34.78047068,166.95,0.952
2008,12,1,30.92960322,284,0.9879999999999999
2008,12,2,32.12344977,74.61,0.974
2008,12,3,29.59146922,297.02,0.9881818181818182
2009,1,1,28.85121885,73.27,0.983
2009,1,2,33.53693513,32.14,0.953
2009,1,3,35.89617636,217.42,0.9590909090909091
